Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,cozinha,media_preco,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,alcance_preco,classifi_agregada,Rating color,taxa_votos,votos
6703956,Super Grill,30,Sí£o Paulo,"Shopping Morumbi - Piso Lazer, Avenida Roque Petroni Jí_nior, 1089, Santo Amaro, Sí£o Paulo","Shopping Morumbi, Santo Amaro","Shopping Morumbi, Santo Amaro, Sí£o Paulo",-46.698574,-23.622925,Brazilian,50,Brazilian Real(R$),No,No,No,No,2,0.0,White,Not rated,2
17284105,Cookie Shoppe,216,Albany,"115 N Jackson St, Albany, GA 31701",Albany,"Albany, Albany",-84.154,31.5772,,0,Dollar($),No,No,No,No,1,3.4,Orange,Average,34
17284302,El Vaquero Mexican Restaurant,216,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.2194,31.6158,Mexican,0,Dollar($),No,No,No,No,1,3.4,Orange,Average,45
17284211,Pearly's Famous Country Cookng,216,Albany,"814 N Slappey Blvd, Albany, GA 31701",Albany,"Albany, Albany",-84.1759,31.5882,,0,Dollar($),No,No,No,No,1,3.4,Orange,Average,36
17284150,House of China Restaurant II,216,Albany,"2526 Dawson Rd Ste A, Albany, GA 31707",Albany,"Albany, Albany",-84.212,31.6104,Chinese,10,Dollar($),No,No,No,No,1,3.8,Yellow,Good,153
17284158,Jimmie's Hot Dogs,216,Albany,"204 S Jackson St, Albany, GA 31701",Albany,"Albany, Albany",-84.1534,31.5751,,10,Dollar($),No,No,No,No,1,3.9,Yellow,Good,160
17293301,Mama's Boy Restaurant,216,Athens,"197 Oak St, GA 30601",Athens,"Athens, Athens",-83.3654,33.9535,Southern,10,Dollar($),No,No,No,No,1,4.5,Dark Green,Excellent,849
17293409,Sr. Sol 1,216,Athens,"175 Tallassee Rd, Athens, GA 30606",Athens,"Athens, Athens",-83.4293,33.9652,Mexican,10,Dollar($),No,No,No,No,1,4.6,Dark Green,Excellent,917
17293205,Five & Ten,216,Athens,"1073 South Milledge Ave, Athens, GA 30605",Athens,"Athens, Athens",-83.3872482,33.941554499999995,American,40,Dollar($),No,No,No,No,3,4.3,Green,Very Good,755
17293897,Ike & Jane,216,Athens,"1307 Prince Ave, Athens, GA 30606",Athens,"Athens, Athens",-83.400887,33.963296,Sandwich,10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,350
17293273,La Dolce Vita Ristorante,216,Athens,"323 E Broad St, Athens, GA 30601",Athens,"Athens, Athens",-83.4075,33.9584,Italian,40,Dollar($),No,No,No,No,3,4.1,Green,Very Good,464
17294642,Sconyers Bar B Que,216,Augusta,"2250 Sconyers Way, Augusta, GA 30906",Augusta,"Augusta, Augusta",-82.0327,33.4086,BBQ,25,Dollar($),No,No,No,No,2,3.5,Yellow,Good,304
17295109,Frog Hollow Tavern,216,Augusta,"1282 broad street, Augusta, GA 30901",Augusta,"Augusta, Augusta",-81.974944,33.478231,American,40,Dollar($),No,No,No,No,3,4.3,Green,Very Good,368
17294565,Nacho Mamas Burritos,216,Augusta,"976 Broad St, Augusta, GA 30901",Augusta,"Augusta, Augusta",-81.9694,33.4764,Mexican,10,Dollar($),No,No,No,No,1,4.0,Green,Very Good,380
17295033,The Chop House,216,Augusta,"Augusta Mall, Augusta, GA 30909",Augusta,"Augusta, Augusta",-82.080788,33.467201,Steak,40,Dollar($),No,No,No,No,3,4.0,Green,Very Good,360
17295069,The Taj of India,216,Augusta,"502 Furys Ferry Rd, Augusta, GA 30907",Augusta,"Augusta, Augusta",-82.0805493,33.5375868,Indian,25,Dollar($),No,No,No,No,2,4.0,Green,Very Good,227
17294261,Augsburg Haus,216,Augusta,"4460 Washington Road, Evans, GA 30809",Evans,"Evans, Augusta",-82.143793,33.544342,German,25,Dollar($),No,No,No,No,2,3.9,Yellow,Good,290
17295115,Pho Bac,216,Augusta,"4300 Towne Centre, Evans, GA 30809",Evans,"Evans, Augusta",-82.126161,33.532249,Vietnamese,10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,270
17294850,Thai Kitchen,216,Augusta,"4357 Washington Road, Evans, GA 30809",Evans,"Evans, Augusta",-82.1328,33.5406,Thai,35,Dollar($),No,No,No,No,3,4.3,Green,Very Good,317
17294883,El Kiosco Mexican Restaurant,216,Augusta,"5174 Wrightsboro Rd, Grovetown, GA 30813",Grovetown,"Grovetown, Augusta",-82.1997,33.4574,Mexican,10,Dollar($),No,No,No,No,1,4.2,Green,Very Good,300
17303646,Flying Pie Pizzaria,216,Boise,"6508 W Fairview Ave, Boise, ID 83704",Boise,"Boise, Boise",-116.2625,43.6192,Pizza,25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,550
17303684,Guido's Original New York Style Pizza,216,Boise,"235 N 5th St, Boise, ID 83702",Boise,"Boise, Boise",-116.199,43.615,Pizza,10,Dollar($),No,No,No,No,1,4.3,Green,Very Good,410
17303772,Los Beto's,216,Boise,"5220 W Fairview Ave, Boise, ID 83706",Boise,"Boise, Boise",-116.2463,43.6191,Mexican,10,Dollar($),No,No,No,No,1,4.4,Green,Very Good,660
17304741,The Egg Factory,216,Boise,"8061 W Fairview Ave, Boise, ID 83704",Boise,"Boise, Boise",-116.28180900000001,43.619274,Breakfast,10,Dollar($),No,No,No,No,1,4.3,Green,Very Good,422
17304726,Tucanos,216,Boise,"1388 S Entertainment Ave, Boise, ID 83709",Boise,"Boise, Boise",-116.28061399999999,43.591706,Brazilian,40,Dollar($),No,No,No,No,3,4.0,Green,Very Good,435
17304533,Brick 29,216,Boise,"320 11th Avenue S, Nampa, ID 83651",Nampa,"Nampa, Boise",-116.5629,43.5777,American,40,Dollar($),No,No,No,No,3,4.4,Green,Very Good,487
17315995,El Super Burrito,216,Cedar Rapids/Iowa City,"3300 Johnson Ave NW, Cedar Rapids, IA 52405",Cedar Rapids,"Cedar Rapids, Cedar Rapids/Iowa City",-91.7148,41.9748,Mexican,10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,190
17316771,Taste of India,216,Cedar Rapids/Iowa City,"1060 Old Marion Rd NE, Cedar Rapids, IA 52402",Cedar Rapids,"Cedar Rapids, Cedar Rapids/Iowa City",-91.6499622,42.021534700000004,Indian,25,Dollar($),No,No,No,No,2,4.2,Green,Very Good,186
17316208,Ting's Red Lantern,216,Cedar Rapids/Iowa City,"540 Boyson Rd NE, Cedar Rapids, IA 52402",Cedar Rapids,"Cedar Rapids, Cedar Rapids/Iowa City",-91.6394,42.0468,Chinese,10,Dollar($),No,No,No,No,1,4.2,Green,Very Good,347
17316278,Exotic India,216,Cedar Rapids/Iowa City,"102 2nd Ave, Coralville, IA 52241",Coralville,"Coralville, Cedar Rapids/Iowa City",-91.5687,41.6685,Indian,25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,160
17316744,Shorts Burger and Shine,216,Cedar Rapids/Iowa City,"18 S Clinton St, Iowa City, IA 52240",Iowa City,"Iowa City, Cedar Rapids/Iowa City",-91.534424,41.660982000000004,Burger,10,Dollar($),No,No,No,No,1,4.9,Dark Green,Excellent,820
17316374,A & A Pagliai's Pizza,216,Cedar Rapids/Iowa City,"302 E Bloomington St, Iowa City, IA 52245",Iowa City,"Iowa City, Cedar Rapids/Iowa City",-91.5314,41.6648,Pizza,25,Dollar($),No,No,No,No,2,4.3,Green,Very Good,485
17316381,Atlas World Grill,216,Cedar Rapids/Iowa City,"127 Iowa Ave, Iowa City, IA 52240",Iowa City,"Iowa City, Cedar Rapids/Iowa City",-91.5341,41.661,International,40,Dollar($),No,No,No,No,3,4.3,Green,Very Good,428
17316449,Jimmy Jack's Rib Shack,216,Cedar Rapids/Iowa City,"1940 Lower Muscatine Rd, Iowa City, IA 52240",Iowa City,"Iowa City, Cedar Rapids/Iowa City",-91.5074,41.6428,BBQ,25,Dollar($),No,No,No,No,2,4.2,Green,Very Good,259
17330609,Mark's City Grille,216,Columbus,"7160 moon road, Columbus, GA 31909",Columbus,"Columbus, Columbus",-84.927047,32.555591,American,25,Dollar($),No,No,No,No,2,4.5,Dark Green,Excellent,345
17330604,Burt's Butcher Shoppe and Eatery,216,Columbus,"2932 Warm Springs Rd, Columbus, GA 31909",Columbus,"Columbus, Columbus",-84.947569,32.504657,Steak,25,Dollar($),No,No,No,No,2,4.3,Green,Very Good,213
17330087,Chef Lee's Peking Restaurant,216,Columbus,"6100 Bradley Park Dr, Columbus, GA 31904",Columbus,"Columbus, Columbus",-84.9607,32.5393,Chinese,25,Dollar($),No,No,No,No,2,4.0,Green,Very Good,335
17330309,Mellow Mushroom,216,Columbus,"6100 Veterans Pkwy, Columbus, GA 31909",Columbus,"Columbus, Columbus",-84.9557,32.5321,Pizza,25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,192
17330638,The Black Cow,216,Columbus,"115 A 12th St, Columbus, GA 31901",Columbus,"Columbus, Columbus",-84.991384,32.468757000000004,American,25,Dollar($),No,No,No,No,2,4.3,Green,Very Good,287
17334213,Dub's High on the Hog,216,Dalton,"349 S Wall St, Calhoun, GA 30701",Calhoun,"Calhoun, Dalton",-84.9523921,34.497248799999994,BBQ,25,Dollar($),No,No,No,No,2,4.4,Green,Very Good,207
17333797,Chili's Grill & Bar,216,Dalton,"881 College Dr, Dalton, GA 30720",Dalton,"Dalton, Dalton",-85.0039,34.7643,American,25,Dollar($),No,No,No,No,2,3.8,Yellow,Good,63
17334273,Las Palmas,216,Dalton,"1331 W Walnut Ave, Dalton, GA 30720",Dalton,"Dalton, Dalton",-84.992924,34.759665000000005,Mexican,10,Dollar($),No,No,No,No,1,3.8,Yellow,Good,83
17334254,Tony's Italian Restaurant & Pizza,216,Dalton,"933 Market St, Dalton, GA 30720",Dalton,"Dalton, Dalton",-84.999678,34.758645,Italian,25,Dollar($),No,No,No,No,2,3.7,Yellow,Good,116
17333882,Los Pablos,216,Dalton,"1513 W Walnut Ave Ste 6, Dalton, GA 30720",Dalton,"Dalton, Dalton",-84.9964,34.7604,Mexican,10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,114
